Date,team_avg(*C),team_min(*C),team_max(*C),prcp,snow,wind_speed(m/s),Rain_probability(%)
1/1/1990,20.1,12.8,28,0,0,3.82,0.34
1/2/1990,20.7,16.4,39,0,0,4.82,0.34
1/3/1990,20.7,16,27.4,0,0,5.82,0.34
1/4/1990,18.8,11.9,28,0,0,6.82,0.34
1/5/1990,19.8,11,28.2,0,0,7.82,0.34
1/6/1990,22.2,12.5,28.2,0,0,8.82,0.34
1/7/1990,20.8,15.8,28.2,0,0,9.82,0.34
1/8/1990,20.3,13.6,29.5,0,0,10.82,0.34
1/9/1990,22.3,14.8,31.6,0,0,11.82,0.34
1/10/1990,21.6,14.5,30.8,0,0,12.82,0.34
1/11/1990,21.7,15.6,30.7,0,0,13.82,0.34
1/12/1990,21.2,12.8,29.3,0,0,14.82,0.34
1/13/1990,22.6,12.9,29.5,,0,15.82,0.34
1/14/1990,24.9,14,32.1,0,0,16.82,0.34
1/15/1990,24.7,15.5,33.4,0,0,17.82,0.34
1/16/1990,23.4,15.6,31.3,0,0,3.82,0.34
1/17/1990,19.7,15,34,0,0,4.82,0.34
1/18/1990,29.5,21.9,34.1,,0,5.82,0.34
1/19/1990,24.2,16.2,33.4,0,0,6.82,0.34
1/20/1990,26.4,15.4,34,0,0,7.82,0.34
1/21/1990,25.1,17,32.1,0,0,8.82,0.34
1/22/1990,25.3,17.7,32.9,0,0,9.82,0.34
1/23/1990,24.9,17.3,33.6,0,0,10.82,0.34
1/24/1990,25.8,23.6,32.7,0,0,11.82,0.34
1/25/1990,25.4,18.4,33,0,0,12.82,0.34
1/26/1990,25.1,18.8,32.3,0,0,13.82,0.34
1/27/1990,24.3,14.2,33,0,0,14.82,0.34
1/28/1990,22.3,15,33,0,0,15.82,0.34
1/29/1990,22.4,15.8,,0,0,16.82,0.34
1/30/1990,26.6,17,35,0,0,17.82,0.34
1/31/1990,25.1,17.4,34.4,0,0,18.82,0.34
2/1/1990,25.6,17.4,34,0,0,19.82,0.34
2/2/1990,26.8,,33.5,0,0,20.82,0.34
2/3/1990,26.5,,32.5,0,0,21.82,0.34
2/4/1990,25.4,19.7,34,0,0,22.82,0.34
2/5/1990,26.2,19.6,33.7,0,0,23.82,0.34
2/6/1990,24.8,19.8,32.8,0,0,24.82,0.34
2/7/1990,25.4,19.2,32.9,0,0,25.82,0.34
2/8/1990,24.2,,,0,0,26.82,0.34
2/9/1990,25.1,19.4,,0,0,27.82,0.34
2/10/1990,27.1,18.5,32.2,,0,28.82,0.34
2/11/1990,25.6,18.8,33.3,0,0,29.82,0.34
2/12/1990,25.4,19.1,35.4,0,0,30.82,0.34
2/13/1990,24.4,,34.6,0,0,31.82,0.34
2/14/1990,26.2,21.6,31,,0,32.82,0.34
2/15/1990,20.8,,24,5.1,0,33.82,0.34
2/16/1990,23.1,17.3,29.2,6.6,0,34.82,0.34
2/17/1990,24.4,19,32,0,0,35.82,0.34
2/18/1990,21.6,19.6,26.3,9.1,0,36.82,0.34
2/19/1990,24.1,,29.1,0,0,37.82,0.34
2/20/1990,23.4,18.4,,0,0,38.82,0.34
2/21/1990,22.6,18.6,30.4,14.7,0,39.82,0.34
2/22/1990,24.2,19.2,29.8,0,0,40.82,0.34
2/23/1990,24.5,19.5,,,0,41.82,0.34
2/24/1990,23.1,18.7,29.6,5.3,0,42.82,0.34
2/25/1990,24.7,18.8,,0,0,43.82,0.34
2/26/1990,26.8,20.4,,0,0,44.82,0.34
2/27/1990,25.9,18.8,33.5,0,0,45.82,0.34
2/28/1990,25.7,21.2,32.4,0,0,46.82,0.34
3/1/1990,26.9,22.5,33.8,,0,47.82,0.34
3/2/1990,25.6,,32.7,0,0,48.82,0.34
3/3/1990,21.4,17.2,25.2,52.3,0,49.82,0.34
3/4/1990,22.3,18,27.1,3,0,50.82,0.34
3/5/1990,24.2,19.5,,0,0,51.82,0.34
3/6/1990,23.4,,29.4,0,0,52.82,0.34
3/7/1990,25.3,19.8,29.8,7.4,0,53.82,0.34
3/8/1990,26.2,20.1,31.8,0,0,54.82,0.34
3/9/1990,26.1,21.6,31.6,,0,55.82,0.34
3/10/1990,24.6,20.6,31.8,0,0,56.82,0.34
